match_id,attack_mean,defense_mean,magic_mean,difficulty_mean,primary_role_Assassin_sum,primary_role_Fighter_sum,primary_role_Mage_sum,primary_role_Marksman_sum,primary_role_Support_sum,primary_role_Tank_sum,win
NA1_5213310165,5.8,5.4,4.8,5.4,0,2,0,1,1,1,False
NA1_5213310165,4.4,3.8,4.6,6.4,0,1,2,1,1,0,True
NA1_5213311590,6.2,3.8,4.8,4.6,0,1,1,2,1,0,True
NA1_5213311590,5.6,5.2,5.6,6.0,0,2,1,1,1,0,False
NA1_5213311685,6.0,2.6,3.4,5.0,1,0,1,3,0,0,True
NA1_5213311685,7.4,3.4,4.8,5.6,0,2,2,1,0,0,False
NA1_5213318460,5.4,3.2,5.6,4.8,0,0,2,3,0,0,False
NA1_5213318460,5.0,2.2,4.2,5.2,0,0,2,1,1,1,True
NA1_5213318826,5.2,3.4,6.0,7.2,0,1,2,2,0,0,True
NA1_5213318826,4.2,3.4,4.2,4.2,0,1,2,1,1,0,False
NA1_5213327124,5.0,6.8,4.2,4.2,1,1,1,0,0,2,False
NA1_5213327124,4.6,4.2,6.0,5.2,0,1,2,2,0,0,True
NA1_5213328244,3.4,4.4,4.6,5.2,1,1,2,0,1,0,True
NA1_5213328244,5.2,4.2,6.4,5.8,1,1,1,1,1,0,False
NA1_5213328670,4.2,4.4,5.0,3.0,0,1,1,1,0,2,False
NA1_5213328670,2.8,4.8,5.6,5.6,1,1,1,1,0,1,True
NA1_5213332621,6.8,2.6,5.2,5.0,0,0,1,3,1,0,True
NA1_5213332621,5.4,3.6,5.2,4.2,0,1,2,2,0,0,False
NA1_5213333424,2.6,3.8,5.8,5.2,0,0,3,0,1,1,True
NA1_5213333424,5.6,5.0,5.0,5.0,0,1,1,2,0,1,False
NA1_5213345074,5.6,2.8,6.0,7.0,0,0,2,3,0,0,False
NA1_5213345074,6.2,4.0,5.4,5.8,0,1,0,3,0,1,True
NA1_5213347969,4.2,4.8,7.2,6.2,0,1,1,1,1,1,False
NA1_5213347969,7.4,3.4,5.6,5.4,0,1,2,2,0,0,True
NA1_5213352108,4.8,3.8,5.8,6.6,0,1,2,1,0,1,True
NA1_5213352108,6.8,4.8,3.8,5.0,0,2,1,1,0,1,False
NA1_5213353563,3.8,5.0,8.0,6.2,1,0,2,1,0,1,False
NA1_5213353563,5.8,4.4,5.2,4.8,0,1,2,1,0,1,True
NA1_5213367459,5.4,4.2,5.8,5.4,0,1,2,2,0,0,False
NA1_5213371642,6.6,5.2,4.6,5.4,0,0,1,1,2,1,True
NA1_5213371642,4.6,6.0,5.6,5.6,0,1,2,1,0,1,False
NA1_5213379200,4.8,3.2,3.8,5.4,2,0,2,0,0,1,False
NA1_5213379200,6.8,3.4,4.0,7.2,0,1,1,2,0,1,True
NA1_5213380850,7.4,5.2,3.0,5.8,1,2,0,1,0,1,False
NA1_5213380850,1.6,3.8,5.2,4.4,1,0,2,0,1,1,True
NA1_5213385279,6.0,2.6,3.2,4.0,0,1,0,2,2,0,False
NA1_5213386673,5.8,4.2,4.6,4.6,0,1,1,2,0,1,True
NA1_5213386673,4.0,5.2,6.8,4.8,0,0,2,1,0,2,False
NA1_5213393113,5.6,3.8,5.4,5.6,0,1,2,2,0,0,False
NA1_5213393113,3.8,5.8,6.8,5.2,0,0,1,1,1,2,True
NA1_5213393959,6.8,4.8,4.0,6.0,0,3,1,1,0,0,True
NA1_5213393959,6.2,4.6,5.0,4.8,0,3,1,0,0,1,False
NA1_5213394112,5.8,3.6,5.8,5.6,0,2,2,1,0,0,True
NA1_5213394112,2.8,5.6,7.4,5.6,0,0,1,1,2,1,False
NA1_5213399802,5.8,4.2,5.4,6.6,1,1,2,1,0,0,False
NA1_5213399802,6.4,3.4,5.2,7.4,1,2,2,0,0,0,True
NA1_5213412481,4.4,4.8,6.0,5.0,1,1,2,0,0,1,True
NA1_5213412481,5.8,3.6,5.8,4.6,0,2,2,1,0,0,False
NA1_5213421322,3.6,4.4,5.6,4.2,0,1,1,0,2,1,True
NA1_5213426371,4.4,3.8,6.8,7.0,0,0,2,2,0,1,True
NA1_5213426371,7.6,4.6,4.0,4.2,2,1,0,2,0,0,False
NA1_5213430105,4.0,3.2,6.0,6.6,2,0,1,1,1,0,False
NA1_5213430105,6.0,5.8,5.2,5.4,1,1,0,1,0,2,True
NA1_5213430447,5.6,4.8,5.8,7.8,0,2,1,0,2,0,True
NA1_5213430447,5.6,5.0,4.6,5.4,1,0,0,2,1,1,False
NA1_5213430953,6.0,3.8,5.6,5.6,0,1,2,1,0,1,True
NA1_5213430953,3.2,4.0,5.2,4.6,1,0,2,0,0,2,False
NA1_5213432970,7.0,3.6,4.6,5.4,0,2,1,1,1,0,False
NA1_5213432970,6.8,4.8,3.8,4.6,0,2,0,2,0,1,True
NA1_5213436764,5.6,3.4,6.4,6.6,1,1,1,1,1,0,False
NA1_5213436764,4.2,3.8,5.2,4.8,0,1,2,1,1,0,True
NA1_5213439187,4.2,3.2,5.4,4.8,1,0,1,2,1,0,True
NA1_5213439982,6.8,4.8,4.0,5.2,0,0,0,3,0,2,True
NA1_5213439982,5.6,5.0,5.4,6.4,1,1,2,0,0,1,False
NA1_5213447083,6.2,4.8,4.4,5.6,0,1,1,2,1,0,False
NA1_5213447083,4.6,5.6,6.0,4.8,0,2,2,0,0,1,True
NA1_5213451823,4.0,3.6,6.8,5.8,0,1,1,2,0,1,False
NA1_5213451823,5.0,5.0,7.0,5.6,0,2,1,1,1,0,True
NA1_5213452541,6.6,3.4,3.4,4.2,0,2,0,2,1,0,True
NA1_5213452580,5.4,5.6,5.2,4.4,0,1,1,2,0,1,False
NA1_5213452580,5.4,3.8,6.0,6.2,1,0,1,2,1,0,True
NA1_5213453042,5.0,4.0,4.2,4.2,0,1,2,1,0,1,True
NA1_5213453042,5.2,4.0,6.0,6.4,0,0,3,2,0,0,False
NA1_5213453662,4.4,4.2,7.0,6.0,0,1,3,1,0,0,True
NA1_5213453662,5.6,4.6,5.6,6.2,1,1,1,0,1,1,False
NA1_5213456314,5.8,5.4,5.0,4.8,0,1,1,1,0,2,False
NA1_5213456314,4.6,5.2,6.0,5.8,0,1,2,0,0,2,True
NA1_5213456418,4.6,4.4,6.6,5.8,0,1,2,0,2,0,False
NA1_5213456418,5.4,4.4,5.6,4.6,0,0,1,2,0,2,True
NA1_5213457932,4.6,5.0,5.4,4.6,0,2,0,1,2,0,True
NA1_5213457932,5.8,5.4,5.8,4.4,0,1,1,1,0,2,False
NA1_5213461467,4.0,3.8,5.0,5.0,1,0,1,2,1,0,False
NA1_5213461467,5.6,4.0,5.6,5.8,0,1,2,2,0,0,True
NA1_5213462558,4.2,4.0,6.6,6.6,0,2,2,1,0,0,False
NA1_5213462558,3.6,2.8,5.8,4.4,0,1,3,1,0,0,True
NA1_5213464934,5.0,4.2,5.8,5.8,1,1,1,1,1,0,True
NA1_5213464934,5.2,5.8,5.8,5.6,0,1,2,1,1,0,False
NA1_5213467736,5.2,5.4,6.2,5.8,0,1,2,1,0,1,True
NA1_5213467736,3.6,5.8,6.2,6.0,1,1,1,0,0,2,False
NA1_5213469900,6.8,5.0,3.6,5.4,0,3,0,2,0,0,False
NA1_5213469900,5.6,5.0,5.0,6.0,1,2,1,0,1,0,True
NA1_5213473709,4.8,3.8,4.4,5.6,0,1,1,0,2,1,True
NA1_5213473709,4.6,3.6,6.8,5.6,0,1,2,0,2,0,False
NA1_5213475324,3.0,3.2,5.4,5.0,0,0,2,1,1,1,True
NA1_5213475324,4.6,5.0,5.4,4.8,1,1,1,1,0,1,False
NA1_5213476743,5.4,3.8,6.2,6.4,1,1,2,1,0,0,True
NA1_5213476743,6.0,4.6,5.6,6.4,0,3,1,0,1,0,False
NA1_5213477648,6.8,4.4,4.4,5.2,0,1,0,2,1,1,False
NA1_5213477648,5.4,3.4,6.6,6.2,1,1,2,1,0,0,True
NA1_5213479880,6.0,4.4,4.8,6.0,1,1,0,2,1,0,False
NA1_5213479880,4.4,3.4,7.8,5.0,0,0,2,1,2,0,True
NA1_5213480311,5.0,3.4,5.6,5.6,1,1,1,1,1,0,False
NA1_5213480311,6.2,4.6,5.2,6.4,0,2,0,2,1,0,True
NA1_5213481539,5.4,1.8,4.4,6.6,0,1,3,1,0,0,True
NA1_5213481539,6.4,5.2,4.2,4.0,0,3,1,1,0,0,False
NA1_5213482835,5.0,4.2,5.6,7.8,0,1,1,1,1,1,False
NA1_5213482835,3.8,4.6,6.6,4.8,0,0,2,2,0,1,True
NA1_5213483344,4.8,3.2,7.2,4.2,0,2,2,0,1,0,True
NA1_5213483344,6.6,5.0,5.4,6.8,1,2,1,0,0,1,False
NA1_5213488834,7.4,5.2,2.8,5.2,0,3,0,1,0,1,False
NA1_5213488834,6.4,4.8,4.0,4.2,0,1,0,2,1,1,True
NA1_5213489571,5.0,4.0,5.8,6.0,1,1,1,1,1,0,True
NA1_5213489571,7.2,4.2,2.8,5.0,0,1,0,3,0,1,False
NA1_5213490977,8.0,3.6,4.6,4.6,1,2,0,2,0,0,False
NA1_5213490977,5.2,3.2,6.4,7.6,0,1,1,2,1,0,True
NA1_5213492092,4.8,5.2,5.4,5.0,1,2,1,0,0,1,False
NA1_5213492092,5.8,4.0,5.6,6.2,0,0,2,2,1,0,True
NA1_5213492315,5.8,4.6,4.6,6.4,0,1,1,2,0,1,False
NA1_5213492315,5.2,4.6,6.6,5.4,1,2,1,0,1,0,True
